title_year,movie_title,imdb_score,num_voted_users
2009,Avatar ,7.9,886204
2007,Pirates of the Caribbean: At World's End ,7.1,471220
2015,Spectre ,6.8,275868
2012,The Dark Knight Rises ,8.5,1144337
,Star Wars: Episode VII - The Force Awakens             ,7.1,8
2012,John Carter ,6.6,212204
2007,Spider-Man 3 ,6.2,383056
2010,Tangled ,7.8,294810
2015,Avengers: Age of Ultron ,7.5,462669
2009,Harry Potter and the Half-Blood Prince ,7.5,321795
2016,Batman v Superman: Dawn of Justice ,6.9,371639
2006,Superman Returns ,6.1,240396
2008,Quantum of Solace ,6.7,330784
2006,Pirates of the Caribbean: Dead Man's Chest ,7.3,522040
2013,The Lone Ranger ,6.5,181792
2013,Man of Steel ,7.2,548573
2008,The Chronicles of Narnia: Prince Caspian ,6.6,149922
2012,The Avengers ,8.1,995415
2011,Pirates of the Caribbean: On Stranger Tides ,6.7,370704
2012,Men in Black 3 ,6.8,268154
2014,The Hobbit: The Battle of the Five Armies ,7.5,354228
2012,The Amazing Spider-Man ,7,451803
2010,Robin Hood ,6.7,211765
2013,The Hobbit: The Desolation of Smaug ,7.9,483540
2007,The Golden Compass ,6.1,149019
2005,King Kong ,7.2,316018
1997,Titanic ,7.7,793059
2016,Captain America: Civil War ,8.2,272670
2012,Battleship ,5.9,202382
2015,Jurassic World ,7,418214
2012,Skyfall ,7.8,522030
2004,Spider-Man 2 ,7.3,411164
2013,Iron Man 3 ,7.2,557489
2010,Alice in Wonderland ,6.5,306320
2006,X-Men: The Last Stand ,6.8,383427
2013,Monsters University ,7.3,235025
2009,Transformers: Revenge of the Fallen ,6,323207
2014,Transformers: Age of Extinction ,5.7,242420
2013,Oz the Great and Powerful ,6.4,175409
2014,The Amazing Spider-Man 2 ,6.7,321227
2010,TRON: Legacy ,6.8,264183
2011,Cars 2 ,6.3,101178
2011,Green Lantern ,5.6,223393
2010,Toy Story 3 ,8.3,544884
2009,Terminator Salvation ,6.6,286095
2015,Furious 7 ,7.2,278232
2013,World War Z ,7,465019
2014,X-Men: Days of Future Past ,8,514125
2013,Star Trek Into Darkness ,7.8,395573
2013,Jack the Giant Slayer ,6.3,106416
